Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1515969397000,0c:68:03:b0:ad:dc,-83,SJSU_MyDevice,-121.88166378,37.33678398,5,[ESS][P2P][BLE],,-5280
1515969397000,0c:68:03:b0:ad:dd,-82,SJSU_Guest,-121.88166378,37.33678398,5,[ESS][BLE],,-5280
1515969397000,0c:68:03:b0:ad:de,-84,eduroam,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,-5280
1515969397000,0c:68:03:b0:ad:df,-83,SJSU_premier,-121.88166378,37.33678398,5,[WPA2-EAP-CCMP][ESS][BLE],,-5280
1515969353000,1c:b9:c4:33:73:3c,-90,The Internet,-121.88193557,37.33684577,40,[WPA2-PSK+FT/PSK-CCMP][ESS][BLE],,-5540
1515969349000,34:a8:4e:6a:18:e3,-90,eduroam,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5660
1515969349000,34:a8:4e:6a:18:e5,-90,SJSU_Guest,-121.88176898,37.33653379,43,[ESS][BLE],,-5660
1515969349000,34:a8:4e:6a:18:e6,-93,SJSU_MyDevice,-121.88176898,37.33653379,43,[ESS][P2P][BLE],,-5660
1515969349000,34:a8:4e:6a:18:e7,-90,SJSU_premier,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5660
1515969353000,34:a8:4e:6a:18:eb,-85,eduroam,-121.88193557,37.33684577,40,[WPA2-EAP-CCMP][ESS][BLE],,-5660
1515969353000,34:a8:4e:6a:18:ed,-87,SJSU_Guest,-121.88193557,37.33684577,40,[ESS][BLE],,-5660
1515969353000,34:a8:4e:6a:18:ee,-87,SJSU_MyDevice,-121.88193557,37.33684577,40,[ESS][P2P][BLE],,-5660
1515969349000,34:a8:4e:6a:18:ef,-88,SJSU_premier,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5660
1515969353000,50:06:04:bb:60:71,-86,SJSU_MyDevice,-121.88193557,37.33684577,40,[ESS][P2P][BLE],,62437
1515969349000,50:06:04:bb:60:73,-80,eduroam,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5745
1515969349000,50:06:04:bb:60:75,-80,SJSU_Guest,-121.88176898,37.33653379,43,[ESS][BLE],,-5745
1515969349000,50:06:04:bb:60:76,-80,SJSU_MyDevice,-121.88176898,37.33653379,43,[ESS][P2P][BLE],,-5745
1515969349000,50:06:04:bb:60:77,-80,SJSU_premier,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5745
1515969349000,50:06:04:bb:60:7b,-72,eduroam,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5745
1515969349000,50:06:04:bb:60:7d,-72,SJSU_Guest,-121.88176898,37.33653379,43,[ESS][BLE],,-5745
1515969353000,50:06:04:bb:60:7e,-74,SJSU_MyDevice,-121.88193557,37.33684577,40,[ESS][P2P][BLE],,-5745
1515969349000,50:06:04:bb:60:7f,-73,SJSU_premier,-121.88176898,37.33653379,43,[WPA2-EAP-CCMP][ESS][BLE],,-5745
1515969299000,5e:84:1a:dd:d0:e8,-80,SETUP,-121.885344,37.33831421,28,[IBSS],,112462
1515969385000,68:86:a7:1c:b9:04,-85,SJSU_MyDevice,-121.88163699,37.33686897,8,[ESS][P2P][BLE],,-5240
1515969385000,68:86:a7:1c:b9:05,-85,SJSU_Guest,-121.88163699,37.33686897,8,[ESS][BLE],,-5240
1515969385000,68:86:a7:1c:b9:06,-84,eduroam,-121.88163699,37.33686897,8,[WPA2-EAP-CCMP][ESS][BLE],,-5240
1515969385000,68:86:a7:1c:b9:07,-85,SJSU_premier,-121.88163699,37.33686897,8,[WPA2-EAP-CCMP][ESS][BLE],,-5240
1515969385000,68:86:a7:1c:b9:0d,-86,SJSU_Guest,-121.88163699,37.33686897,8,[ESS][BLE],,-5240
1515969299000,68:86:a7:1c:be:1c,-87,SJSU_MyDevice,-121.885344,37.33831421,28,[ESS][P2P][BLE],,-5300
1515969297000,68:86:a7:1c:be:1d,-85,SJSU_Guest,-121.88527248,37.33840275,31,[ESS][BLE],,-5300
1515969297000,68:86:a7:1c:be:1e,-87,eduroam,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,-5300
1515969297000,68:86:a7:1c:be:1f,-86,SJSU_premier,-121.88527248,37.33840275,31,[WPA2-EAP-CCMP][ESS][BLE],,-5300
